,gbifID,format,identifier,references
5,891159860,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/353519/original.jpg,https://www.inaturalist.org/photos/353519
6,896546240,image/jpeg,http://arctos.database.museum/media/10223561?open,
7,896546240,image/jpeg,http://arctos.database.museum/media/10197529?open,
9,896546305,image/jpeg,http://arctos.database.museum/media/10223565?open,
10,896546305,image/jpeg,http://arctos.database.museum/media/10197533?open,
12,923925335,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/957515/original.JPG,https://www.inaturalist.org/photos/957515
14,1038328290,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1197472/original.jpg,https://www.flickr.com/photos/mollivan_jon/14625080001/
15,1039534715,image/jpeg,https://images.collections.yale.edu/iiif/2/ypm:f03699fa-b0da-4737-b656-80918c4fbe53/full/full/0/default.jpg,
16,1039534715,image/jpeg,"https://images.collections.yale.edu/iiif/2/ypm:af2f52eb-96b9-4785-977d-fda90bdaf499/full/!1920,1920/0/default.jpg",
17,1039534715,image/jpeg,"https://images.collections.yale.edu/iiif/2/ypm:30356025-160a-468e-a6cd-4f68d65fbe44/full/!1920,1920/0/default.jpg",
20,1065593400,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1495748/original.JPG,https://www.inaturalist.org/photos/1495748
21,1065604530,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1529725/original.JPG,https://www.inaturalist.org/photos/1529725
22,1065609420,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1547210/original.jpg,https://www.inaturalist.org/photos/1547210
23,1088929125,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1659395/original.jpg,https://www.inaturalist.org/photos/1659395
24,1088948780,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1726067/original.JPG,https://www.inaturalist.org/photos/1726067
25,1088948780,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1726068/original.JPG,https://www.inaturalist.org/photos/1726068
26,1088951100,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1734479/original.jpg,https://www.inaturalist.org/photos/1734479
27,1088966200,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1789284/original.jpg,https://www.inaturalist.org/photos/1789284
28,1098901595,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1970784/original.jpg,https://www.inaturalist.org/photos/1970784
29,1098912275,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2009079/original.jpg,https://www.inaturalist.org/photos/2009079
30,1099964450,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2061005/original.jpg,https://www.inaturalist.org/photos/2061005
31,1123325505,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/6/a99c813c-28a7-4106-8754-95e13a0ce042_image.jpg,https://www.artportalen.se/Image/1403801
34,1123592990,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/7/955ce82f-753a-4a6e-ace2-33fb1c2429d6_image.jpg,https://www.artportalen.se/Image/1415392
35,1123592990,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/7/e0d06e82-cfc3-4395-882c-cbfa08ef8935_image.jpg,https://www.artportalen.se/Image/1415393
36,1134966390,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2207831/original.JPG,https://www.inaturalist.org/photos/2207831
37,1135344705,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1187229/original.jpg,http://www.flickr.com/photos/mollivan_jon/8698682922/
38,1136906180,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/9/a8024f76-2373-44ca-9a6e-8f5d70c2e6d6_image.jpg,https://www.artportalen.se/Image/1454024
39,1136906180,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/9/383f55fa-4104-4fc5-b9de-906e1ffb7718_image.jpg,https://www.artportalen.se/Image/1454030
40,1143518155,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1836126/original.JPG,https://www.inaturalist.org/photos/1836126
41,1144280970,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2506954/original.jpg,https://www.flickr.com/photos/mollivan_jon/22078238015/
42,1208923095,image/jpeg,http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13908055&type=jpeg,
43,1208923095,image/jpeg,http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13908054&type=jpeg,
44,1208923095,image/jpeg,http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13908053&type=jpeg,
45,1208947880,image/jpeg,http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14227244&type=jpeg,
46,1211989770,image/jpeg,http://static.inaturalist.org/photos/2616585/original.JPG,https://www.inaturalist.org/photos/2616585
47,1211989770,image/jpeg,http://static.inaturalist.org/photos/2616582/original.JPG,https://www.inaturalist.org/photos/2616582
48,1211989770,image/jpeg,http://static.inaturalist.org/photos/2616581/original.JPG,https://www.inaturalist.org/photos/2616581
49,1211989770,image/jpeg,http://static.inaturalist.org/photos/2616583/original.JPG,https://www.inaturalist.org/photos/2616583
50,1211989770,image/jpeg,http://static.inaturalist.org/photos/2616584/original.JPG,https://www.inaturalist.org/photos/2616584
51,1213795810,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/12/b88cbe5f-32e3-4af9-ba0e-23c0cfdf49f0_image.jpg,https://www.artportalen.se/Image/1490194
53,1265560355,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/3306647/original.JPG,https://www.inaturalist.org/photos/3306647
