,gbifID,format,identifier,references
5,1024231050,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1131477/original.JPG,https://www.inaturalist.org/photos/1131477
6,1024330005,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1141475/original.jpg,https://www.inaturalist.org/photos/1141475
7,1024330005,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1141449/original.jpg,https://www.inaturalist.org/photos/1141449
8,1038345545,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1321221/original.jpg,https://www.inaturalist.org/photos/1321221
9,1039550975,image/jpeg,"https://images.collections.yale.edu/iiif/2/ypm:7f27262f-8140-4127-a791-b281011171fb/full/!1920,1920/0/default.jpg",
10,1039550975,image/jpeg,"https://images.collections.yale.edu/iiif/2/ypm:99f476ce-7f58-4b8e-a7fe-74c3c69ba4e1/full/!1920,1920/0/default.jpg",
11,1039550975,image/jpeg,https://images.collections.yale.edu/iiif/2/ypm:a0c96cfc-9327-46e3-a5da-e1a6da9d7a4c/full/full/0/default.jpg,
12,1042816350,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1334515/original.jpg,https://www.inaturalist.org/photos/1334515
13,1042816350,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1334523/original.jpg,https://www.inaturalist.org/photos/1334523
16,1088911035,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1596778/original.jpg,https://www.inaturalist.org/photos/1596778
17,1123077310,image/jpeg,https://www.artportalen.se/MediaLibrary/birds/2015/large/601907.jpg,https://www.artportalen.se/Image/1366532
18,1123219585,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/6/e00d0fd9-b027-46b4-b6dc-5ff43b2131d8_image.jpg,https://www.artportalen.se/Image/1397332
19,1123720580,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/8/ef5e6202-9170-46bd-b7f1-708e58841e37_image.jpg,https://www.artportalen.se/Image/1437161
20,1144983095,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2552374/original.jpg,https://www.inaturalist.org/photos/2552374
25,1213042280,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/12/940c37b3-9b9e-4307-995f-df71d7177977_image.jpg,https://www.artportalen.se/Image/1487343
26,1227726950,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2681794/original.jpg,https://www.inaturalist.org/photos/2681794
27,1227726950,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2681793/original.jpg,https://www.inaturalist.org/photos/2681793
28,1227727745,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2685167/original.jpg,https://www.inaturalist.org/photos/2685167
29,1227727745,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2685168/original.jpg,https://www.inaturalist.org/photos/2685168
30,1229923965,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2884935/original.JPG,https://www.inaturalist.org/photos/2884935
31,1229923965,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2884937/original.JPG,https://www.inaturalist.org/photos/2884937
32,1229923965,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2884936/original.JPG,https://www.inaturalist.org/photos/2884936
34,1253313740,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/3080639/original.JPG,https://www.inaturalist.org/photos/3080639
35,1253313740,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/3080626/original.JPG,https://www.inaturalist.org/photos/3080626
36,1291374885,image/jpeg,https://data.nhm.ac.uk/media/f40be122-2657-4bd2-a22a-0882f774e2ef,
37,1291376720,image/jpeg,https://data.nhm.ac.uk/media/f40be122-2657-4bd2-a22a-0882f774e2ef,
38,1291393490,image/jpeg,https://data.nhm.ac.uk/media/d626f447-77f5-433a-b47f-834badeccdac,
39,1291406150,image/jpeg,https://data.nhm.ac.uk/media/5aa3eaae-72f1-435e-88d0-7a0c886a618c,
40,1291424845,image/jpeg,https://data.nhm.ac.uk/media/5aa3eaae-72f1-435e-88d0-7a0c886a618c,
41,1291439755,image/jpeg,https://data.nhm.ac.uk/media/f40be122-2657-4bd2-a22a-0882f774e2ef,
42,1291485090,image/jpeg,https://data.nhm.ac.uk/media/f40be122-2657-4bd2-a22a-0882f774e2ef,
43,1291508140,image/jpeg,https://data.nhm.ac.uk/media/fd615298-3cde-4a40-baf9-2717fcdf3968,
44,1305114790,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2390900/original.jpg,https://www.inaturalist.org/photos/2390900
45,1305114790,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2390901/original.jpg,https://www.inaturalist.org/photos/2390901
46,1315055540,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/4835311/original.jpeg,https://www.inaturalist.org/photos/4835311
47,1315055540,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/4835310/original.jpeg,https://www.inaturalist.org/photos/4835310
48,1315055540,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/4826797/original.jpeg,https://www.inaturalist.org/photos/4826797
49,1317659825,image/jpeg,http://n2t.net/ark:/65665/m3423090c7-b45a-4b52-ab3b-36e939ba92dc,
50,1318561510,image/jpeg,http://n2t.net/ark:/65665/m3cdedcb51-78d1-4c20-9df6-df199381d9b8,
51,1320587365,image/jpeg,http://n2t.net/ark:/65665/m3217771f5-12db-4fb7-b6ba-bd15cf4a0a5b,
52,1321488215,image/jpeg,http://n2t.net/ark:/65665/m3d7850be0-3d0a-4106-a68f-bf6076153cee,
53,1323027135,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/5098530/original.jpeg,https://www.inaturalist.org/photos/5098530
54,1428150045,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/12/c36e02a0-5704-4e7f-8c8f-00a6ad44c644_image.jpg,https://www.artportalen.se/Image/1492189
55,1428225520,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/12/028e66e7-07f0-4013-8706-677f19449cfd_image.jpg,https://www.artportalen.se/Image/1495322
56,1428225520,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/12/af683c1e-e088-437c-85bc-72bf600cd65a_image.jpg,https://www.artportalen.se/Image/1495337
57,1428225520,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/12/a8dfa140-d5f3-4774-b66b-b4e1c4f12c8f_image.jpg,https://www.artportalen.se/Image/1495334
58,1428225520,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/12/456c27fd-3794-42fb-a1b6-62ded5bc25a7_image.jpg,https://www.artportalen.se/Image/1495330
59,1428296265,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/1/7839c410-a6b0-4fc1-831c-51d93c3777d4_image.jpg,https://www.artportalen.se/Image/1496372
60,1428306850,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/1/f5c3a85d-e5a4-40ef-a0c4-789777990452_image.jpg,https://www.artportalen.se/Image/1496664
61,1428427610,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/1/64403cf0-6c02-408b-938a-d56ca227440b_image.jpg,https://www.artportalen.se/Image/1499545
62,1428800755,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/2/f9e2ce57-fd69-49ce-b276-1afec737dac4_image.jpg,https://www.artportalen.se/Image/1509801
63,1429642705,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/3/fc05e2ba-6878-44a0-a14f-80700817cb2e_image.jpg,https://www.artportalen.se/Image/1527883
64,1429647865,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/4/5f45114a-13f7-4677-a4d9-c28a6253a872_image.jpg,https://www.artportalen.se/Image/1541672
65,1429693070,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/4/aa6ace76-d7d5-413b-8ed4-b21dbf37d973_image.jpg,https://www.artportalen.se/Image/1529345
66,1429883630,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/4/7e5f0dfe-dab8-44e3-8e4c-c0cda068ac60_image.jpg,https://www.artportalen.se/Image/1531593
67,1430020260,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/4/1d0b2056-e9d3-4fca-aee9-2f65c5a2ae23_image.jpg,https://www.artportalen.se/Image/1533663
68,1430040735,image/jpeg,https://www.artportalen.se/MediaLibrary/2016/4/3c56081e-b3f9-48b8-a0d9-dea90c539b87_image.jpg,https://www.artportalen.se/Image/1534498
