,gbifID,format,identifier,references
11,891103375,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/194914/original.jpg,http://www.flickr.com/photos/erikpaterson/8134459191/
14,896559230,image/jpeg,http://arctos.database.museum/media/10221084?open,
15,896559230,image/jpeg,http://arctos.database.museum/media/10192641?open,
16,899959665,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/758929/original.jpg,https://www.inaturalist.org/photos/758929
17,923919170,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/936104/original.jpg,https://www.flickr.com/photos/petemella/10409144123/
26,1024205105,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1033766/original.jpg,https://www.inaturalist.org/photos/1033766
27,1024231770,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1134582/original.jpg,https://www.inaturalist.org/photos/1134582
28,1039567790,image/jpeg,"https://images.collections.yale.edu/iiif/2/ypm:51182594-6ada-4b99-a1be-91f82d5746e0/full/!1920,1920/0/default.jpg",
29,1039567790,image/jpeg,"https://images.collections.yale.edu/iiif/2/ypm:c64b7aca-901b-4e44-8534-201a8e37de37/full/!1920,1920/0/default.jpg",
30,1039567790,image/jpeg,https://images.collections.yale.edu/iiif/2/ypm:dc6a464d-224a-4606-8940-06fe64f42a2d/full/full/0/default.jpg,
31,1039620960,image/jpeg,https://images.collections.yale.edu/iiif/2/ypm:eca52700-de5a-4a64-bce4-706009ddaab3/full/full/0/default.jpg,
32,1039620960,image/jpeg,"https://images.collections.yale.edu/iiif/2/ypm:86a8e3c4-42e7-4b1c-96af-f5b23e61a27a/full/!1920,1920/0/default.jpg",
33,1039620960,image/jpeg,"https://images.collections.yale.edu/iiif/2/ypm:ab7b32aa-4698-4660-94b7-d2aa9cc77eda/full/!1920,1920/0/default.jpg",
35,1052594560,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1427649/original.jpg,https://www.inaturalist.org/photos/1427649
38,1065590785,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1488491/original.jpg,https://www.inaturalist.org/photos/1488491
39,1086554140,,http://fm-digital-assets.fieldmuseum.org/692/204/Z95041_02_04d.jpg,
40,1086554140,,http://fm-digital-assets.fieldmuseum.org/692/206/Z95041_07d.jpg,
41,1088921585,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1632866/original.jpg,https://www.inaturalist.org/photos/1632866
42,1088935550,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1680881/original.jpg,https://www.inaturalist.org/photos/1680881
43,1088936215,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1683558/original.jpg,https://www.inaturalist.org/photos/1683558
44,1088936215,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1683557/original.jpg,https://www.inaturalist.org/photos/1683557
45,1088938480,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1691590/original.jpg,https://www.inaturalist.org/photos/1691590
46,1088950375,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1731577/original.jpg,https://www.inaturalist.org/photos/1731577
47,1123049570,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/5/87b5fb5c-cc6c-483f-8502-c897e9a351be_image.jpg,https://www.artportalen.se/Image/1390007
48,1123210475,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/6/9200b064-e6df-4964-ac85-bc3d2a5b1aa2_image.jpg,https://www.artportalen.se/Image/1396543
49,1123246490,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/6/0ae0c68d-027a-47d5-8442-119accf91b60_image.jpg,https://www.artportalen.se/Image/1399930
50,1134983025,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/8/817f39db-b6c6-470c-8fed-7b9b65f3d32a_image.jpg,https://www.artportalen.se/Image/1431681
60,1208922735,image/jpeg,http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13907308&type=jpeg,
61,1208922735,image/jpeg,http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13907307&type=jpeg,
62,1208922735,image/jpeg,http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13907309&type=jpeg,
63,1208922745,image/jpeg,http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13907311&type=jpeg,
64,1208922745,image/jpeg,http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13907310&type=jpeg,
65,1208922745,image/jpeg,http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=13907312&type=jpeg,
66,1224501990,image/jpeg,https://www.artportalen.se/MediaLibrary/2015/12/96456c21-e3b3-4675-b483-22c89fd2b888_image.jpg,https://www.artportalen.se/Image/1490809
67,1227735935,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2714719/original.jpg,https://www.inaturalist.org/photos/2714719
68,1227735935,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2714718/original.jpg,https://www.inaturalist.org/photos/2714718
69,1227743595,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2744559/original.jpg,https://www.inaturalist.org/photos/2744559
70,1227743595,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2744558/original.jpg,https://www.inaturalist.org/photos/2744558
71,1227743595,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2744560/original.jpg,https://www.inaturalist.org/photos/2744560
72,1229929445,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2906118/original.JPG,https://www.inaturalist.org/photos/2906118
73,1229929445,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2906120/original.JPG,https://www.inaturalist.org/photos/2906120
74,1229929445,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2906119/original.JPG,https://www.inaturalist.org/photos/2906119
76,1249288080,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2980564/original.JPG,https://www.inaturalist.org/photos/2980564
77,1249288080,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/2980565/original.JPG,https://www.inaturalist.org/photos/2980565
78,1257415310,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/3119537/original.jpg,https://www.inaturalist.org/photos/3119537
81,1273852500,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/4058695/original.jpg,https://www.inaturalist.org/photos/4058695
82,1273852500,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/4058696/original.jpg,https://www.inaturalist.org/photos/4058696
83,1291060300,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/1693181/original.jpg,https://www.inaturalist.org/photos/1693181
84,1291073110,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/3477544/original.jpg,https://www.inaturalist.org/photos/3477544
85,1291368730,image/jpeg,https://data.nhm.ac.uk/media/b830da22-a663-43ff-9b41-ac7f2e3bd13b,
86,1291378105,image/jpeg,https://data.nhm.ac.uk/media/5a1e089c-8100-4d8e-9461-4bb9e96142d7,
87,1291383065,image/jpeg,https://data.nhm.ac.uk/media/a52eae70-ec6b-4189-8002-2a292c32d3d8,
88,1291426755,image/jpeg,https://data.nhm.ac.uk/media/5a1e089c-8100-4d8e-9461-4bb9e96142d7,
89,1291426785,image/jpeg,https://data.nhm.ac.uk/media/5a1e089c-8100-4d8e-9461-4bb9e96142d7,
90,1291537210,image/jpeg,https://data.nhm.ac.uk/media/82ff231d-d8f8-4f86-af4b-14faf9638926,
92,1317287170,image/jpeg,http://n2t.net/ark:/65665/m326c75bfb-d37f-4db7-aee6-b9678d844792,
93,1317476195,image/jpeg,http://n2t.net/ark:/65665/m3425ba24f-3587-4adf-9c6e-349d8164036c,
94,1317633870,image/jpeg,http://n2t.net/ark:/65665/m3eb56797a-2b86-4386-9adb-8f162985465f,
95,1317746450,image/jpeg,http://n2t.net/ark:/65665/m33cada2b5-c238-44f4-901d-971989945473,
96,1317836390,image/jpeg,http://n2t.net/ark:/65665/m342b58afc-977a-456c-a9b4-01933aeb5ad5,
97,1317845670,image/jpeg,http://n2t.net/ark:/65665/m3329900a0-f2f6-4b4a-ab1a-72c21943529c,
98,1317944705,image/jpeg,http://n2t.net/ark:/65665/m3433abc26-4f0b-414b-83bd-1e2d63c01a4b,
99,1318358160,image/jpeg,http://n2t.net/ark:/65665/m3db61d345-939c-4a34-a50f-7bc5e0ae89a2,
100,1318569070,image/jpeg,http://n2t.net/ark:/65665/m372171e3d-7dcb-4b1c-945f-282c33428686,
101,1318597395,image/jpeg,http://n2t.net/ark:/65665/m38dbc3df9-3f80-4990-bfde-3142e4365b8b,
102,1318874700,image/jpeg,http://n2t.net/ark:/65665/m3609f7080-34e7-4cf2-acb7-97887b022eb0,
103,1319066125,image/jpeg,http://n2t.net/ark:/65665/m397b3c69c-10b7-48d5-8810-537202371cdb,
104,1319708080,image/jpeg,http://n2t.net/ark:/65665/m3ed4fcaf4-cbde-4aa4-b280-5bbbefc8bb61,
105,1319870415,image/jpeg,http://n2t.net/ark:/65665/m34401ca63-4dd2-444a-81c2-72f78e60e23b,
106,1319940305,image/jpeg,http://n2t.net/ark:/65665/m31c869c42-1af5-4d73-ab59-863822fc92a1,
107,1320090160,image/jpeg,http://n2t.net/ark:/65665/m3a32bed73-98ff-4ae0-a891-a8e4ea415704,
108,1320170420,image/jpeg,http://n2t.net/ark:/65665/m3ad6bd529-fd99-46f7-942b-9f4dd795d6c2,
109,1320270345,image/jpeg,http://n2t.net/ark:/65665/m3f42dfc76-fd5b-4ec2-98d7-c9f287a25d7c,
110,1320433755,image/jpeg,http://n2t.net/ark:/65665/m3aab794a1-5822-4d92-ad2e-0dddfaf8deb8,
111,1320794400,image/jpeg,http://n2t.net/ark:/65665/m3db61d345-939c-4a34-a50f-7bc5e0ae89a2,
112,1320817400,image/jpeg,http://n2t.net/ark:/65665/m3aab794a1-5822-4d92-ad2e-0dddfaf8deb8,
